utc_time,best_bid,best_ask,spread_pct,bid_depth_usd,ask_depth_usd,last_funding_rate,last_funding_time,perp_last,spot_last,basis_pct,eth_spread_pct,eth_bid_depth_usd,eth_ask_depth_usd,eth_perp_mid,eth_basis_pct
2026-07-19T14:41:31+00:00,64510.0,64530.0,0.031,195969,201567,2e-05,2026-07-19T14:00:00Z,64515.0,64489.0,0.0403
2026-07-19T16:05:44+00:00,64645.0,64676.0,0.04794,194506,192911,2e-05,2026-07-19T16:00:00Z,64623.0,64559.0,0.0991
2026-07-19T18:04:09+00:00,64483.0,64512.0,0.04496,210697,186679,1.9e-05,2026-07-19T18:00:00Z,64484.0,64687.0,-0.3138
2026-07-19T19:29:05+00:00,64451.0,64485.0,0.05274,202910,183674,1.9e-05,2026-07-19T19:00:00Z,64484.0,64445.0,0.0605
2026-07-19T21:03:53+00:00,64554.0,64590.0,0.05575,203133,183864,1.9e-05,2026-07-19T21:00:00Z,64555.0,64539.0,0.0248
2026-07-19T22:07:12+00:00,64371.0,64404.0,0.05125,167966,218331,1.9e-05,2026-07-19T22:00:00Z,64384.0,64539.0,-0.2402
2026-07-20T00:07:15+00:00,64818.0,64831.0,0.02005,182261,216554,1.8e-05,2026-07-20T00:00:00Z,64817.0,64704.0,0.1746
2026-07-20T04:47:17+00:00,64718.0,64746.0,0.04326,182973,204765,1.7e-05,2026-07-20T04:00:00Z,64707.0,64699.0,0.0124
2026-07-20T07:19:25+00:00,63913.0,63950.0,0.05787,227151,157283,1.6e-05,2026-07-20T07:00:00Z,63931.5,63903.5,0.0438
2026-07-20T07:28:28+00:00,64142.0,64172.0,0.04676,227720,157613,1.6e-05,2026-07-20T07:00:00Z,64157.0,64126.0,0.0483
2026-07-20T10:19:38+00:00,64275.0,64315.0,0.06221,208388,177520,1.6e-05,2026-07-20T10:00:00Z,64295.0,64268.5,0.0412
2026-07-20T12:35:04+00:00,64718.0,64747.0,0.0448,181301,217090,1.6e-05,2026-07-20T12:00:00Z,64732.5,64688.5,0.068
2026-07-20T14:51:53+00:00,64372.0,64406.0,0.0528,235659,150678,1.6e-05,2026-07-20T14:00:00Z,64389.0,64368.5,0.0318
2026-07-20T16:39:49+00:00,65472.0,65511.0,0.05955,197573,193305,1.6e-05,2026-07-20T16:00:00Z,65491.5,65472.0,0.0298
2026-07-20T19:00:35+00:00,65265.0,65296.0,0.04749,239368,150654,1.6e-05,2026-07-20T19:00:00Z,65280.5,65256.5,0.0368
2026-07-20T20:26:47+00:00,65271.0,65312.0,0.0628,239456,150692,1.6e-05,2026-07-20T20:00:00Z,65291.5,65260.5,0.0475
2026-07-20T21:45:42+00:00,65366.0,65402.0,0.05506,239691,150830,1.6e-05,2026-07-20T21:00:00Z,65384.0,65332.5,0.0788
2026-07-20T23:08:52+00:00,65213.0,65252.0,0.05979,239294,150593,1.6e-05,2026-07-20T23:00:00Z,65232.5,65194.5,0.0583
2026-07-21T01:01:58+00:00,65525.0,65562.0,0.05645,240112,151080,1.6e-05,2026-07-21T01:00:00Z,65543.5,65522.0,0.0328
2026-07-21T04:22:13+00:00,65680.0,65714.0,0.05175,240534,151273,1.6e-05,2026-07-21T04:00:00Z,65697.0,65663.0,0.0518
2026-07-21T07:14:18+00:00,65932.0,65966.0,0.05155,239272,175359,1.7e-05,2026-07-21T07:00:00Z,65949.0,65925.0,0.0364
2026-07-21T10:05:00+00:00,66311.0,66349.0,0.05729,242263,76376,1.7e-05,2026-07-21T10:00:00Z,66330.0,66300.0,0.0452
2026-07-21T11:56:26+00:00,66334.0,66350.0,0.02412,213610,94995,1.7e-05,2026-07-21T11:00:00Z,66342.0,66310.5,0.0475
2026-07-21T14:13:36+00:00,66869.0,66890.0,0.0314,205280,209060,1.7e-05,2026-07-21T14:00:00Z,66879.5,66853.5,0.0389
2026-07-21T16:04:42+00:00,66765.0,66802.0,0.0554,221994,207409,1.7e-05,2026-07-21T16:00:00Z,66783.5,66757.5,0.0389
2026-07-21T17:39:48+00:00,66467.0,66490.0,0.0346,231959,173796,1.7e-05,2026-07-21T17:00:00Z,66478.5,66464.5,0.0211
2026-07-21T19:44:49+00:00,66467.0,66502.0,0.05264,221265,173702,1.7e-05,2026-07-21T19:00:00Z,66484.5,66467.5,0.0256
2026-07-21T21:20:37+00:00,66346.0,66386.0,0.06027,220981,173529,1.7e-05,2026-07-21T21:00:00Z,66366.0,66344.5,0.0324
2026-07-21T22:29:33+00:00,66285.0,66318.0,0.04977,220825,173410,1.7e-05,2026-07-21T22:00:00Z,66301.5,66278.0,0.0355
2026-07-21T23:32:28+00:00,66398.0,66435.0,0.05571,221092,173610,1.7e-05,2026-07-21T23:00:00Z,66416.5,66393.0,0.0354
2026-07-22T01:00:31+00:00,66657.0,66691.0,0.05099,235965,159884,1.7e-05,2026-07-22T01:00:00Z,66674.0,66650.0,0.036
2026-07-22T04:24:22+00:00,66400.0,66437.0,0.05571,235287,159500,1.6e-05,2026-07-22T04:00:00Z,66418.5,66370.5,0.0723
2026-07-22T07:15:43+00:00,65928.0,65963.0,0.05307,211655,181191,1.6e-05,2026-07-22T07:00:00Z,65945.5,65921.5,0.0364
2026-07-22T10:03:30+00:00,65954.0,65989.0,0.05305,229294,163540,1.5e-05,2026-07-22T10:00:00Z,65971.5,65948.5,0.0349
2026-07-22T11:57:52+00:00,66033.0,66049.0,0.02423,240139,168718,1.5e-05,2026-07-22T11:00:00Z,66041.0,66028.5,0.0189
2026-07-22T14:17:01+00:00,65759.0,65793.0,0.05169,232837,159319,1.4e-05,2026-07-22T14:00:00Z,65776.0,65757.5,0.0281
2026-07-22T16:04:40+00:00,66034.0,66070.0,0.0545,241523,98621,1.4e-05,2026-07-22T16:00:00Z,66052.0,66028.5,0.0356
2026-07-22T17:36:54+00:00,66099.0,66130.0,0.04689,241708,76343,1.4e-05,2026-07-22T17:00:00Z,66114.5,66087.0,0.0416
2026-07-22T18:45:23+00:00,65774.0,65809.0,0.0532,240808,76234,1.4e-05,2026-07-22T18:00:00Z,65791.5,65763.0,0.0433
2026-07-22T20:17:33+00:00,65911.0,65943.0,0.04854,241190,76270,1.4e-05,2026-07-22T20:00:00Z,65927.0,65897.0,0.0455
2026-07-22T21:39:36+00:00,66056.0,66092.0,0.05448,241586,76310,1.4e-05,2026-07-22T21:00:00Z,66074.0,66047.0,0.0409
2026-07-22T23:12:06+00:00,65998.0,66033.0,0.05302,241438,76302,1.4e-05,2026-07-22T23:00:00Z,66015.5,65991.5,0.0364
2026-07-23T01:05:21+00:00,66173.0,66208.0,0.05288,241921,76361,1.4e-05,2026-07-23T01:00:00Z,66190.5,66147.5,0.065
2026-07-23T04:26:19+00:00,65746.0,65784.0,0.05778,262937,75889,1.4e-05,2026-07-23T04:00:00Z,65765.0,65733.5,0.0479
2026-07-23T07:10:08+00:00,65709.0,65741.0,0.04869,262830,76215,1.4e-05,2026-07-23T07:00:00Z,65725.0,65697.0,0.0426
2026-07-23T10:02:05+00:00,65619.0,65653.0,0.0518,240370,76220,1.5e-05,2026-07-23T10:00:00Z,65636.0,65602.5,0.0511
